nation_id,fifa_team_id,fifa_player_id,name,short_name,jersey_num,birth_date,position,real_position,real_position_side,position_code,real_position_code,preferred_foot,height_cm,weight_kg,fifa_id_country,picture_id,picture_url,active_status,fifa_match_appearances,fifa_goals,fifa_yellow_cards,fifa_red_cards
MEX,43911,485070,Raul RANGEL,R. RANGEL,1,2000-02-25T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,190.0,87.0,MEX,3EA092AE-841D-4DC6-9CA078EB4DFB97C7,https://digitalhub.fifa.com/transform/3ea092ae-841d-4dc6-9ca0-78eb4dfb97c7/RANGEL-Raul_485070,1,,,,
MEX,43911,403596,Jorge SANCHEZ,J. SÁNCHEZ,2,1997-12-10T00:00:00Z,Defender,Defender,Unknown,1,1,,176.0,72.0,MEX,8640D435-8ABA-4B52-A8649952D3A6DB5C,https://digitalhub.fifa.com/transform/8640d435-8aba-4b52-a864-9952d3a6db5c/SANCHEZ-Jorge_403596,1,,,,
MEX,43911,395516,Cesar MONTES,C. MONTES,3,1997-02-24T00:00:00Z,Defender,Defender,Unknown,1,1,,191.0,70.0,MEX,C8C3FA3A-9001-4221-AB3C754158C0AD8A,https://digitalhub.fifa.com/transform/c8c3fa3a-9001-4221-ab3c-754158c0ad8a/MONTES-Cesar_395516,1,,,,
MEX,43911,400634,Edson ALVAREZ,E. ÁLVAREZ,4,1997-10-24T00:00:00Z,Defender,Defender,Unknown,1,1,,180.0,76.0,MEX,B1581870-6BEF-4C29-9A06F306BBF03CA8,https://digitalhub.fifa.com/transform/b1581870-6bef-4c29-9a06-f306bbf03ca8/ALVAREZ-Edson_400634,1,,,,
MEX,43911,425701,Johan VASQUEZ,J. VÁSQUEZ,5,1998-10-22T00:00:00Z,Defender,Defender,Unknown,1,1,,182.0,72.0,MEX,838CB65F-3D60-4ACB-855D35A364C25F1A,https://digitalhub.fifa.com/transform/838cb65f-3d60-4acb-855d-35a364c25f1a/VASQUEZ-Johan_425701,1,,,,
MEX,43911,419518,Erik LIRA,E. LIRA,6,2000-05-08T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,172.0,70.0,MEX,83109586-542D-4950-83EBF3388757EF90,https://digitalhub.fifa.com/transform/83109586-542d-4950-83eb-f3388757ef90/LIRA-Erik_419518,1,,,,
MEX,43911,430763,Luis ROMO,L. ROMO,7,1995-06-05T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,183.0,81.0,MEX,BC7F864E-C553-4995-9EB362139E29A7D7,https://digitalhub.fifa.com/transform/bc7f864e-c553-4995-9eb3-62139e29a7d7/ROMO-Luis_430763,1,,,,
MEX,43911,416576,Alvaro FIDALGO,FIDALGO,8,1997-04-09T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,66.0,MEX,FDA68F1A-ECEB-4219-8F1BED6B1F2E37ED,https://digitalhub.fifa.com/transform/fda68f1a-eceb-4219-8f1b-ed6b1f2e37ed/FIDALGO-Alvaro_416576,1,,,,
MEX,43911,356731,Raul JIMENEZ,RAÚL,9,1991-05-05T00:00:00Z,Forward,Forward,Unknown,3,3,,188.0,79.0,MEX,EC48D7A7-0CF7-4FC8-B999E3C15FEE5E98,https://digitalhub.fifa.com/transform/ec48d7a7-0cf7-4fc8-b999-e3c15fee5e98/JIMENEZ-Raul_356731,1,,,,
MEX,43911,430766,Alexis VEGA,A. VEGA,10,1997-11-25T00:00:00Z,Forward,Forward,Unknown,3,3,,175.0,73.0,MEX,EEEBA73B-BC80-47F5-A1FFF38F94FF2EE0,https://digitalhub.fifa.com/transform/eeeba73b-bc80-47f5-a1ff-f38f94ff2ee0/VEGA-Alexis_430766,1,,,,
MEX,43911,430759,Santiago GIMENEZ,S. GIMENEZ,11,2001-04-18T00:00:00Z,Forward,Forward,Unknown,3,3,,180.0,75.0,MEX,0E27D0C6-E057-4D0C-A6033843FCD0C542,https://digitalhub.fifa.com/transform/0e27d0c6-e057-4d0c-a603-3843fcd0c542/GIMENEZ-Santiago_430759,1,,,,
MEX,43911,441260,Carlos ACEVEDO,C. ACEVEDO,12,1996-04-19T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,185.0,82.0,MEX,B84BEEEC-BE0C-493F-85FD362BF0EAD5C6,https://digitalhub.fifa.com/transform/b84beeec-be0c-493f-85fd-362bf0ead5c6/ACEVEDO-Carlos_441260,1,,,,
MEX,43911,215285,Guillermo OCHOA,G. OCHOA,13,1985-07-13T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,185.0,76.0,MEX,FEDEAC9F-968D-4D4C-B08A5B2BF157C396,https://digitalhub.fifa.com/transform/fedeac9f-968d-4d4c-b08a-5b2bf157c396/OCHOA-Guillermo_215285,1,,,,
MEX,43911,514336,Armando GONZALEZ,A. GONZÁLEZ,14,2003-04-20T00:00:00Z,Forward,Forward,Unknown,3,3,,182.0,74.0,MEX,81CE3E70-D37D-4109-B4238CC7732527A1,https://digitalhub.fifa.com/transform/81ce3e70-d37d-4109-b423-8cc7732527a1/GONZALEZ-Armando_514336,1,,,,
MEX,43911,441261,Israel REYES,I. REYES,15,2000-05-23T00:00:00Z,Defender,Defender,Unknown,1,1,,181.0,78.0,MEX,1E7C7C32-135C-46BA-9AFF429BFB1478AA,https://digitalhub.fifa.com/transform/1e7c7c32-135c-46ba-9aff-429bfb1478aa/REYES-Israel_441261,1,,,,
MEX,43911,429157,Julian QUINONES,J. QUIÑONES,16,1997-03-24T00:00:00Z,Forward,Forward,Unknown,3,3,,177.0,78.0,MEX,EA06BECB-97B2-4F89-84645E0854CB7F81,https://digitalhub.fifa.com/transform/ea06becb-97b2-4f89-8464-5e0854cb7f81/QUINONES-Julian_429157,1,,,,
